,title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Language,Budget (float),Box office (float),Release date(datetime),Release date (datetime),Country,Budget,Box office,Screenplay by,Story by,Production companies,Release dates,Countries,Color process,Narrated by,Languages,Animation by
181,Batman: Gotham Knight,"['Shōjirō Nishimi', 'Futoshi Higashide', 'Hiroshi Morioka', 'Yasuhiro Aoki', 'Toshiyuki Kubooka', 'Jong-Sik Nam', 'Yoshiaki Kawajiri']",,Batman by Bill Finger and Bob Kane,"['Toshi Hiruma', 'Eiko Tanaka', 'Mitsuhisa Ishikawa', 'Kōichi Mashimo', 'Jungo Maruta', 'Alex Yeh', 'Masao Maruyama']","['Kevin Conroy', 'Gary Dourdan (', 'David McCallum', 'Parminder Nagra', 'Ana Ortiz']",,"['Joe Gall', 'Mutsumi Takemiya', 'Taeko Hamauzu', 'Bee Train', 'Kashiko Kimura']","['Christopher Drake', 'Kevin Manthei', 'Robert J. Kral']",,Warner Home Video,"['July 8, 2008']",76 minutes,,,,2008-07-08,2008-07-08,,,,"['Josh Olson', 'Greg Rucka', 'Jordan Goldberg', 'David Goyer', 'Brian Azzarello', 'Alan Burnett']",['Jordan Goldberg'],"['Warner Premiere', 'DC Comics', 'Warner Bros. Animation', 'Studio 4°C', 'Production I.G', 'Bee Train Production', 'Madhouse']",,"['United States', 'Japan']",,,"['English', 'Japanese']",
182,Batman: Gotham Knight,"['Shōjirō Nishimi', 'Futoshi Higashide', 'Hiroshi Morioka', 'Yasuhiro Aoki', 'Toshiyuki Kubooka', 'Jong-Sik Nam', 'Yoshiaki Kawajiri']",,Batman by Bill Finger and Bob Kane,"['Toshi Hiruma', 'Eiko Tanaka', 'Mitsuhisa Ishikawa', 'Kōichi Mashimo', 'Jungo Maruta', 'Alex Yeh', 'Masao Maruyama']","['Kevin Conroy', 'Gary Dourdan (', 'David McCallum', 'Parminder Nagra', 'Ana Ortiz']",,"['Joe Gall', 'Mutsumi Takemiya', 'Taeko Hamauzu', 'Bee Train', 'Kashiko Kimura']","['Christopher Drake', 'Kevin Manthei', 'Robert J. Kral']",,Warner Home Video,"['July 8, 2008']",76 minutes,,,,2008-07-08,2008-07-08,,,,"['Josh Olson', 'Greg Rucka', 'Jordan Goldberg', 'David Goyer', 'Brian Azzarello', 'Alan Burnett']",['Jordan Goldberg'],"['Warner Premiere', 'DC Comics', 'Warner Bros. Animation', 'Studio 4°C', 'Production I.G', 'Bee Train Production', 'Madhouse']",,"['United States', 'Japan']",,,"['English', 'Japanese']",
183,Batman: Gotham Knight,"['Shōjirō Nishimi', 'Futoshi Higashide', 'Hiroshi Morioka', 'Yasuhiro Aoki', 'Toshiyuki Kubooka', 'Jong-Sik Nam', 'Yoshiaki Kawajiri']",,Batman by Bill Finger and Bob Kane,"['Toshi Hiruma', 'Eiko Tanaka', 'Mitsuhisa Ishikawa', 'Kōichi Mashimo', 'Jungo Maruta', 'Alex Yeh', 'Masao Maruyama']","['Kevin Conroy', 'Gary Dourdan (', 'David McCallum', 'Parminder Nagra', 'Ana Ortiz']",,"['Joe Gall', 'Mutsumi Takemiya', 'Taeko Hamauzu', 'Bee Train', 'Kashiko Kimura']","['Christopher Drake', 'Kevin Manthei', 'Robert J. Kral']",,Warner Home Video,"['July 8, 2008']",76 minutes,,,,2008-07-08,2008-07-08,,,,"['Josh Olson', 'Greg Rucka', 'Jordan Goldberg', 'David Goyer', 'Brian Azzarello', 'Alan Burnett']",['Jordan Goldberg'],"['Warner Premiere', 'DC Comics', 'Warner Bros. Animation', 'Studio 4°C', 'Production I.G', 'Bee Train Production', 'Madhouse']",,"['United States', 'Japan']",,,"['English', 'Japanese']",
184,Batman: Gotham Knight,"['Shōjirō Nishimi', 'Futoshi Higashide', 'Hiroshi Morioka', 'Yasuhiro Aoki', 'Toshiyuki Kubooka', 'Jong-Sik Nam', 'Yoshiaki Kawajiri']",,Batman by Bill Finger and Bob Kane,"['Toshi Hiruma', 'Eiko Tanaka', 'Mitsuhisa Ishikawa', 'Kōichi Mashimo', 'Jungo Maruta', 'Alex Yeh', 'Masao Maruyama']","['Kevin Conroy', 'Gary Dourdan (', 'David McCallum', 'Parminder Nagra', 'Ana Ortiz']",,"['Joe Gall', 'Mutsumi Takemiya', 'Taeko Hamauzu', 'Bee Train', 'Kashiko Kimura']","['Christopher Drake', 'Kevin Manthei', 'Robert J. Kral']",,Warner Home Video,"['July 8, 2008']",76 minutes,,,,2008-07-08,2008-07-08,,,,"['Josh Olson', 'Greg Rucka', 'Jordan Goldberg', 'David Goyer', 'Brian Azzarello', 'Alan Burnett']",['Jordan Goldberg'],"['Warner Premiere', 'DC Comics', 'Warner Bros. Animation', 'Studio 4°C', 'Production I.G', 'Bee Train Production', 'Madhouse']",,"['United States', 'Japan']",,,"['English', 'Japanese']",
185,Batman: Gotham Knight,"['Shōjirō Nishimi', 'Futoshi Higashide', 'Hiroshi Morioka', 'Yasuhiro Aoki', 'Toshiyuki Kubooka', 'Jong-Sik Nam', 'Yoshiaki Kawajiri']",,Batman by Bill Finger and Bob Kane,"['Toshi Hiruma', 'Eiko Tanaka', 'Mitsuhisa Ishikawa', 'Kōichi Mashimo', 'Jungo Maruta', 'Alex Yeh', 'Masao Maruyama']","['Kevin Conroy', 'Gary Dourdan (', 'David McCallum', 'Parminder Nagra', 'Ana Ortiz']",,"['Joe Gall', 'Mutsumi Takemiya', 'Taeko Hamauzu', 'Bee Train', 'Kashiko Kimura']","['Christopher Drake', 'Kevin Manthei', 'Robert J. Kral']",,Warner Home Video,"['July 8, 2008']",76 minutes,,,,2008-07-08,2008-07-08,,,,"['Josh Olson', 'Greg Rucka', 'Jordan Goldberg', 'David Goyer', 'Brian Azzarello', 'Alan Burnett']",['Jordan Goldberg'],"['Warner Premiere', 'DC Comics', 'Warner Bros. Animation', 'Studio 4°C', 'Production I.G', 'Bee Train Production', 'Madhouse']",,"['United States', 'Japan']",,,"['English', 'Japanese']",
186,The Spectre,Joaquim Dos Santos,Steve Niles,"['Jerry Siegel', 'Bernard Baily', 'Jerry Siegel', 'Bernard Baily']","['Bruce Timm', 'Joaquim Dos Santos', 'Alan Burnett', 'Bobbie Page', 'Sam Register']","['Gary Cole', 'Alyssa Milano', 'Jeff Bennett', 'Rob Paulsen', 'Jon Polito']",,,"['Benjamin Wynn', 'Jeremy Zuckerman']",,Warner Home Video,"['February 23, 2010']",12 minutes,English,,,2010-02-23,2010-02-23,,,,,,"['Warner Bros. Animation', 'Warner Premiere', 'DC Comics']",,,,,,
187,DC Showcase: Jonah Hex,Joaquim Dos Santos,Joe R. Lansdale,['John Albano and Tony DeZuniga'],"['Bobbie Page', 'Alan Burnett', 'Joaquim Dos Santos', 'Sam Register', 'Bruce Timm']","['Thomas Jane', 'Linda Hamilton', 'Jason Marsden', 'Michael Rooker', 'Michelle Trachtenberg']",,,"['Benjamin Wynn', 'Jeremy Zuckerman']",,Warner Home Video,"['July 27, 2010']",12 minutes,English,,,2010-07-27,2010-07-27,United States,,,,,"['Warner Bros. Animation', 'Warner Premiere', 'DC Comics']",,,,,,
188,DC Showcase: Green Arrow,Joaquim Dos Santos,Greg Weisman,"['Green Arrow', 'by', 'Mort Weisinger', 'and', 'George Papp']","['Bobbie Page', 'Joaquim Dos Santos']","['Neal McDonough', 'Malcolm McDowell', 'Ariel Winter', 'Steve Blum', 'Grey DeLisle', 'John DiMaggio']",,,"['Benjamin Wynn', 'Jeremy Zuckerman']",,Warner Home Video,"['September 28, 2010']",12 minutes,English,,,2010-09-28,2010-09-28,,,,,,"['Warner Bros. Animation', 'Warner Premiere', 'DC Comics']",,,,,,
189,Superman/Shazam!: The Return of Black Adam,Joaquim Dos Santos,Michael Jelenic,"['Superman', 'by', 'Jerry Siegel', 'and', 'Joe Shuster', 'Captain Marvel / Shazam!', 'by', 'Bill Parker', 'and', 'C. C. Beck']","['Bobbie Page', 'Alan Burnett', 'Joaquim Dos Santos', 'Sam Register', 'Bruce Timm']","['George Newbern', ""Jerry O'Connell"", 'Arnold Vosloo', 'Zach Callison', 'James Garner', 'Kevin Michael Richardson', 'Danica McKellar', 'Josh Keaton']",,Margaret Hou,"['Benjamin Wynn', 'Jeremy Zuckerman']",,Warner Home Video,"['November 9, 2010']",25 minutes,English,,,2010-11-09,2010-11-09,,,,,,"['Warner Bros. Animation', 'Warner Premiere', 'DC Comics']",,,,,,
190,DC Showcase: Catwoman,Lauren Montgomery,,"['Catwoman', 'by', 'Bill Finger', 'and', 'Bob Kane']","['Lauren Montgomery', 'Alan Burnett']","['Eliza Dushku', 'John DiMaggio', 'Liliana Mumy', 'Kevin Michael Richardson', 'Tara Strong', 'Cree Summer']",,,Christopher Drake,,Warner Home Video,"['October 18, 2011']",15 minutes,English,,,2011-10-18,2011-10-18,United States,,,Paul Dini,,"['Warner Premiere', 'Warner Bros. Animation', 'DC Entertainment']",,,,,,
191,DC Showcase: Sgt. Rock,Bruce Timm,"['Louise Simonson', 'Walter Simonson', 'Tim Sheridan']","['Sgt. Rock by Robert Kanigher Joe Kubert', 'Robert Kanigher', 'Joe Kubert', 'Lt. Matthew Shrieve and The Creature Commandos by J.M. DeMatteis Pat Broderick', 'J.M. DeMatteis', 'Pat Broderick']",Amy McKenna,"['Karl Urban', 'Keith Ferguson', 'William Salyers', 'Audrey Wasilewski']",,Christopher D. Lozinski,"['Lolita Ritmanis', 'Michael McCuistion', 'Kristopher Carter']",,Warner Bros. Home Entertainment,,14 minutes,,,,,,,,,,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
192,DC Showcase: Death,Sam Liu,J.M. DeMatteis,"['Neil Gaiman', 'Mike Dringenberg']","['Amy McKenna', 'Sam Liu']","['Leonardo Nam', 'Jamie Chung', 'Darin De Paul', 'Keith Szarabajka', 'Kari Wahlgren']",,Christopher D. Lozinski,Frederik Wiedmann,,,"October 22, 2019",19 minutes,,,,2019-10-22,2019-10-22,,,,,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
193,DC Showcase: The Phantom Stranger,Bruce Timm,Ernie Altbacker,"['John Broome', 'Carmine Infantino', 'Sy Barry']",Amy McKenna,"['Peter Serafinowicz', 'Grey Griffin', 'Natalie Lander', 'Michael Rosenbaum', 'Roger Craig Smith']",,Christopher D. Lozinski,"['Lolita Ritmanis', 'Kristopher Carter', 'Michael McCuistion']",,Warner Bros. Home Entertainment,,15 minutes,,,,,,,,,,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
194,DC Showcase: Adam Strange,Butch Lukic,,"['Adam Strange', 'by', 'Gardner Fox']","['Butch Lukic', 'Amy McKenna']","['Charlie Weber', 'Kimberly Brooks', 'Ray Chase', 'Roger R. Cross', 'Fred Tatasciore']",,Christopher D. Lozinski,Kevin Riepl,,Warner Bros. Home Entertainment,,16 minutes,,,,,,,,,J.M. DeMatteis,Butch Lukic,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
195,Batman: Death in the Family,Brandon Vietti,['Brandon Vietti'],"['Jim Starlin', 'Jim Aparo', 'Batman: Under The Red Hood', 'by Judd Winick']","['Amy McKenna', 'Brandon Vietti']","['Bruce Greenwood', 'Vincent Martella', 'John DiMaggio', 'Gary Cole', 'Zehra Fazal']",,,Christopher Drake,,Warner Bros. Home Entertainment,,"['18-30 minutes', '95 minutes (Digital)']",English,,,,,,,,,,"['Warner Bros. Animation', 'DC Entertainment', 'Studio Mir (Animation services - New footage)', 'The Answer Studio (Animation services - archive footage from Under the Red Hood)']",,,,,,
